iter	Passed	Remaining
626	10097	6006
627	10113	5990
628	10129	5974
629	10144	5957
630	10158	5940
631	10175	5924
632	10191	5908
633	10205	5891
634	10220	5874
635	10236	5858
636	10250	5841
637	10266	5824
638	10280	5808
639	10295	5791
640	10310	5774
641	10326	5758
642	10341	5741
643	10354	5723
644	10368	5706
645	10382	5689
646	10397	5672
647	10412	5656
648	10427	5639
649	10442	5622
650	10458	5606
651	10474	5590
652	10490	5574
653	10508	5559
654	10526	5544
655	10543	5529
656	10560	5513
657	10575	5496
658	10593	5481
659	10611	5466
660	10629	5451
661	10647	5436
662	10664	5420
663	10684	5406
664	10701	5390
665	10718	5375
666	10736	5360
667	10753	5344
668	10769	5328
669	10783	5311
670	10797	5293
671	10811	5277
672	10829	5261
673	10843	5244
674	10858	5228
675	10873	5211
676	10888	5195
677	10903	5178
678	10918	5161
679	10933	5144
680	10948	5128
681	10962	5111
682	10976	5094
683	10990	5077
684	11005	5060
685	11020	5044
686	11036	5028
687	11051	5011
688	11065	4994
689	11080	4978
690	11095	4961
691	11108	4944
692	11122	4927
693	11137	4910
694	11152	4894
695	11167	4877
696	11189	4864
697	11205	4848
698	11221	4831
699	11238	4816
700	11253	4800
701	11269	4783
702	11284	4767
703	11300	4751
704	11314	4734
705	11329	4717
706	11345	4701
707	11359	4684
708	11373	4668
709	11387	4651
710	11402	4634
711	11417	4618
712	11432	4602
713	11449	4586
714	11464	4569
715	11479	4553
716	11494	4536
717	11509	4520
718	11524	4503
719	11539	4487
720	11555	4471
721	11569	4454
722	11584	4438
723	11598	4421
724	11613	4405
725	11628	4388
726	11644	4372
727	11660	4356
728	11676	4340
729	11691	4324
730	11706	4307
731	11721	4291
732	11735	4274
733	11752	4259
734	11768	4243
735	11781	4226
736	11796	4209
737	11810	4192
738	11824	4176
739	11839	4159
740	11854	4143
741	11869	4127
742	11884	4110
743	11898	4094
744	11911	4077
745	11927	4061
746	11942	4044
747	11957	4028
748	11972	4012
749	11988	3996
750	12002	3979
751	12016	3963
752	12031	3946
753	12044	3929
754	12058	3912
755	12073	3896
756	12088	3880
757	12103	3864
758	12118	3847
759	12132	3831
760	12145	3814
761	12160	3798
762	12177	3782
763	12190	3765
764	12204	3749
765	12218	3732
766	12232	3716
767	12247	3699
768	12262	3683
769	12278	3667
770	12292	3651
771	12304	3634
772	12319	3617
773	12334	3601
774	12349	3585
775	12364	3568
776	12378	3552
777	12393	3536
778	12407	3519
779	12420	3503
780	12434	3486
781	12449	3470
782	12463	3454
783	12478	3438
784	12493	3421
785	12514	3407
786	12530	3391
787	12545	3375
788	12560	3358
789	12575	3342
790	12591	3326
791	12607	3310
792	12622	3294
793	12636	3278
794	12649	3261
795	12664	3245
796	12679	3229
797	12696	3213
798	12710	3197
799	12725	3181
800	12742	3165
801	12758	3149
802	12775	3134
803	12793	3118
804	12810	3103
805	12827	3087
806	12843	3071
807	12859	3055
808	12875	3039
809	12893	3024
810	12910	3008
811	12925	2992
812	12940	2976
813	12954	2960
814	12969	2943
815	12984	2927
816	12997	2911
817	13013	2895
818	13027	2879
819	13041	2862
820	13055	2846
821	13070	2830
822	13086	2814
823	13101	2798
824	13116	2782
825	13131	2766
826	13146	2750
827	13160	2733
828	13173	2717
829	13188	2701
830	13204	2685
831	13220	2669
832	13235	2653
833	13249	2637
834	13264	2621
835	13280	2605
836	13294	2589
837	13309	2573
838	13323	2556
839	13337	2540
840	13351	2524
841	13369	2508
842	13384	2492
843	13399	2476
844	13414	2460
845	13430	2444
846	13444	2428
847	13459	2412
848	13473	2396
849	13487	2380
850	13500	2363
851	13516	2347
852	13531	2331
853	13547	2316
854	13562	2300
855	13577	2284
856	13591	2267
857	13607	2252
858	13622	2235
859	13635	2219
860	13650	2203
861	13665	2187
862	13681	2171
863	13697	2156
864	13716	2140
865	13736	2125
866	13754	2110
867	13770	2094
868	13784	2077
869	13799	2062
870	13813	2045
871	13830	2030
872	13845	2014
873	13860	1998
874	13875	1982
875	13891	1966
876	13907	1950
877	13922	1934
878	13937	1918
879	13952	1902
880	13967	1886
881	13981	1870
882	13995	1854
883	14010	1838
884	14025	1822
885	14040	1806
886	14055	1790
887	14070	1774
888	14086	1758
889	14101	1742
890	14117	1727
891	14133	1711
892	14147	1695
893	14161	1679
894	14176	1663
895	14190	1647
896	14204	1631
897	14221	1615
898	14236	1599
899	14250	1583
900	14266	1567
901	14280	1551
902	14294	1535
903	14308	1519
904	14322	1503
905	14338	1487
906	14352	1471
907	14366	1455
908	14381	1439
909	14396	1423
910	14410	1407
911	14426	1391
912	14440	1376
913	14455	1360
914	14468	1344
915	14483	1328
916	14498	1312
917	14513	1296
918	14531	1280
919	14547	1264
920	14562	1249
921	14577	1233
922	14592	1217
923	14606	1201
924	14621	1185
925	14637	1169
926	14653	1153
927	14669	1138
928	14683	1122
929	14698	1106
930	14713	1090
931	14728	1074
932	14744	1058
933	14760	1043
934	14774	1027
935	14789	1011
936	14805	995
937	14819	979
938	14834	963
939	14849	947
940	14863	931
941	14878	916
942	14899	900
943	14916	884
944	14933	869
945	14954	853
946	14973	838
947	14993	822
948	15010	806
949	15026	790
950	15052	775
951	15072	759
952	15101	744
953	15120	729
954	15138	713
955	15159	697
956	15179	682
957	15198	666
958	15216	650
959	15234	634
960	15252	618
961	15267	603
962	15283	587
963	15298	571
964	15312	555
965	15325	539
966	15339	523
967	15353	507
968	15368	491
969	15383	475
970	15398	459
971	15412	443
972	15427	428
973	15441	412
974	15454	396
975	15469	380
976	15484	364
977	15498	348
978	15513	332
979	15528	316
980	15543	301
981	15558	285
982	15573	269
983	15585	253
984	15600	237
985	15616	221
986	15631	205
987	15646	190
988	15663	174
989	15678	158
990	15692	142
991	15708	126
992	15723	110
993	15737	94
994	15749	79
995	15764	63
996	15780	47
997	15795	31
998	15810	15
999	15825	0
