iter	Logloss
0	0.6622684484
1	0.6336848624
2	0.6074044095
3	0.585149972
4	0.563569546
5	0.5438254982
6	0.5264226673
7	0.5093258413
8	0.4960008841
9	0.4823054445
10	0.4705705525
11	0.4587496589
12	0.4480668433
13	0.437994621
14	0.428461096
15	0.4205780922
16	0.412736382
17	0.4057745551
18	0.3995361698
19	0.3936595898
20	0.3878813297
21	0.3823783455
22	0.3774794019
23	0.3730845327
24	0.3689647764
25	0.3640698125
26	0.3596894345
27	0.3563734655
28	0.3532905292
29	0.3503866279
30	0.3473900834
31	0.3449231922
32	0.3427128838
33	0.3404029037
34	0.3378323842
35	0.3353999663
36	0.3338890471
37	0.3317536625
38	0.3295996371
39	0.3277310415
40	0.3259030302
41	0.3236743522
42	0.3222098796
43	0.3207015868
44	0.3194839968
45	0.3182098756
46	0.3170875144
47	0.315853214
48	0.3142698183
49	0.3126398586
50	0.3114910637
51	0.3101548693
52	0.3087159318
53	0.3079986652
54	0.3069536097
55	0.3060857562
56	0.3051797206
57	0.3039989
58	0.3032782852
59	0.3020683655
60	0.3013445376
61	0.3003859541
62	0.2996996705
63	0.2991003621
64	0.2984453748
65	0.2978144956
66	0.2973429043
67	0.2965323232
68	0.2957141769
69	0.2950697517
70	0.2943761024
71	0.2934675924
72	0.2927680916
73	0.2919607819
74	0.2914271885
75	0.2909934804
76	0.2903336212
77	0.289604001
78	0.2890809622
79	0.2884306378
80	0.2878198102
81	0.2872017138
82	0.2866610035
83	0.2862152247
84	0.2856664277
85	0.2852417921
86	0.2846748705
87	0.2843271505
88	0.2838482982
89	0.2831763405
90	0.2825571426
91	0.2821010817
92	0.2816196713
93	0.2808134263
94	0.2803556598
95	0.2795868002
96	0.2792341637
97	0.2788345998
98	0.2784822487
99	0.278159814
100	0.2776143462
101	0.2771573896
102	0.2768255997
103	0.276573398
104	0.2760082718
105	0.2757253004
106	0.2753770034
107	0.2751068998
108	0.2748922447
109	0.2745688428
110	0.2741036965
111	0.2736484027
112	0.2734761936
113	0.2732449885
114	0.2727915948
115	0.2724513924
116	0.271837915
117	0.2716262275
118	0.2710862145
119	0.2705320696
120	0.2702614547
121	0.2700750073
122	0.2696634235
123	0.2691046386
124	0.2689197009
125	0.2682870772
126	0.2679831426
127	0.2676693212
128	0.2673133654
129	0.2669282389
130	0.266630629
131	0.2663338483
132	0.265899728
133	0.2656147675
134	0.2653227127
135	0.2650805166
136	0.2645959465
137	0.264423021
138	0.2639901647
139	0.2635185748
140	0.26315255
141	0.2625524247
142	0.262087015
143	0.2617642104
144	0.261406943
145	0.2608178133
146	0.2605354867
147	0.2600774904
148	0.2598585027
149	0.2595193873
150	0.2592119412
151	0.2588295308
152	0.258611483
153	0.2583768714
154	0.2580668856
155	0.2579128577
156	0.2577126902
157	0.2571984469
158	0.2570480649
159	0.2568192973
160	0.2565983792
161	0.2563880371
162	0.2559739818
163	0.2556691679
164	0.2552570347
165	0.25485324
166	0.2546873648
167	0.2543792832
168	0.2540797717
169	0.2538450568
170	0.2535458431
171	0.2533554229
172	0.2529858348
173	0.2526249535
174	0.2523650107
175	0.2520700033
176	0.2519132178
177	0.2516017466
178	0.2513025637
179	0.2510184907
180	0.2507700373
181	0.2505827649
182	0.2503683868
183	0.2501192169
184	0.2498636473
185	0.2494165354
186	0.2489426046
187	0.2485907703
188	0.2484142992
189	0.2479651762
190	0.2477391689
191	0.2475454304
192	0.247274463
193	0.2470890303
194	0.2468536866
195	0.2467119259
196	0.2465151971
197	0.2463530219
198	0.2461152688
199	0.245987464
200	0.2455935525
201	0.2453104345
202	0.2450849044
203	0.2448763716
204	0.2446483191
205	0.2445125757
206	0.2440518073
207	0.2438682997
208	0.2437106574
209	0.2432813746
210	0.2429633674
211	0.2427716074
212	0.2425986045
213	0.2423073995
214	0.2422102158
215	0.2420553219
216	0.2418776251
217	0.2416903096
218	0.2414477131
219	0.2410926647
220	0.240715806
221	0.2404514516
222	0.2403327407
223	0.2402204266
224	0.2400573393
225	0.2399345516
226	0.2396769667
227	0.2393628463
228	0.2391075294
229	0.2387621869
230	0.2386207784
231	0.2384762625
232	0.2383660741
233	0.2382195174
234	0.2381008788
235	0.2378328472
236	0.2376617022
237	0.2373313846
238	0.2370508234
239	0.2368571798
240	0.2364848723
241	0.2362156106
242	0.2359746989
243	0.2358120043
244	0.2355783642
245	0.2353326205
246	0.2351883062
247	0.235066647
248	0.2349505938
249	0.2345870681
250	0.2343962081
251	0.2342455028
252	0.2340343393
253	0.2339613261
254	0.2337302501
255	0.233536947
256	0.2333124916
257	0.2331630424
258	0.232846068
259	0.2326572424
260	0.2325157851
261	0.2323133898
262	0.2321896833
263	0.2319679064
264	0.2317637838
265	0.2315831213
266	0.2313627555
267	0.2310391503
268	0.2308423827
269	0.2306678113
270	0.2305755183
271	0.2304525162
272	0.2302825905
273	0.2300263517
274	0.2298522978
275	0.229671411
276	0.2294954314
277	0.2292791629
278	0.2290674014
279	0.2288182038
280	0.2285666656
281	0.2284127458
282	0.228226894
283	0.2281110809
284	0.2278497982
285	0.2276450894
286	0.227477987
287	0.2271464129
288	0.2269777808
289	0.2268542374
290	0.2266495
